question,correct_answer,correct_index
"A 27-year-old man presents with diarrhea, fatigue and weight loss. He says he has been having occasional loose stools and abdominal pain for the past month, but he did not seek any medical attention because of work deadlines. He says the diarrhea is associated with cramping lower abdominal pain and an urgency to defecate. His stool is loose, occasionally blood-tinged, and contains mucus. He also says he feels fatigued and has lost 11 kg (24 lb) over the last 2 months. The patient denies any fever, sick contacts, or a history of recent travel. No significant past medical history. Family history is significant for colon cancer in his father, who died at the age of 50. On physical examination, the patient has generalized pallor. Abdominal exam reveals mild tenderness to palpation in the left lower quadrant. Laboratory investigations reveal microcytic anemia with an elevated ESR. A colonoscopy with biopsy is performed, which shows inflammation of the sigmoid colon and rectum. Biopsy shows a predominantly lymphoid infiltration of the mucosa and submucosa with multiple crypt abscesses. No evidence of granulomatous disease. What is the mechanism of action of the drug which typically induces remission of this patient’s most likely condition?",None of the above,0
Prevention and control of hypertension guidelines do not include which of the following?,None of the above,1
When formulating the objectives in the Care Plan it is fundamental to formulate them:,None of the above,2
"To avoid a neuromuscular block, administration of the aminoglycoside antibiotic gentamicin should be done:",None of the above,1
Injection of Glucagon is effective for management of persistent hypoglycemia in all EXCEPT –,None of the above,1
Which of these amino acids does not enter the Krebs cycle by forming Acetyl-CoA pyruvate?,None of the above,1
"The following description of the relevant bacterial toxins, what's wrong?",None of the above,1
In what chromatographic mode is the suppressor column used?,None of the above,1
"In Rett's disorder, it appears (n):",None of the above,3
Precentral gyrus & coicospinal tract are essential for?,None of the above,3
Trichomonas vaginalis and the following statements about the condition and what was right?,None of the above,2
Which of the antibiotics reviewed is ototoxic ?:,None of the above,2
The uterine blood flow at term is -,None of the above,3
Most reliable method of recording centric relation,None of the above,0
"Mrs. J.L.G., blood group A Rh negative, has been the mother of two twins, one of them Rh positive and the other A Rh negative). What dose of anti-D gammaglobulin should be administered to this patient taking into account that she did not receive a prophylactic dose between weeks 28 and 30 of gestation ?:",None of the above,3
Binder present in phosphate bonded investment material is:,None of the above,3
Most common tnre of renal carcinoma is -,None of the above,0
Which of the following programs is a specific cognitive-behavioral counseling treatment for the positive symptoms of schizophrenia? :,None of the above,0
Cold mould seal used as a separator is made up of:,None of the above,2
"About girls precocious puberty (Precocious puberty), that ⼀ following items transferred to other pathogenic machine most different?",None of the above,3
The white blood cells are the largest:,None of the above,0
"A 62-year-old woman presents to the emergency department complaining of intense pain in her right knee that started 12 hours ago. Her past medical history is significant for hemochromatosis, managed with biweekly phlebotomy. Her vitals include: blood pressure of 130/70 mm Hg, pulse of 82/min, respiratory rate of 18/min, and temperature of 36.5°C (97.7°F). Physical examination reveals an erythematous, warm, and severely tender right knee with a restricted range of motion. An arthrocentesis is performed, and synovial fluid analysis is significant for a neutrophil count of 3,200 cells/μL, a negative Gram stain, and the following result under polarized light microscopy (see image). Which of the following additional findings would you also expect to observe in this patient?",None of the above,0
A previously healthy 4-month-old girl is brought to the emergency department by her parents because she has not stopped crying for the past 5 hours. Her parents report that she has not eaten anything during this period and that they were unable to calm her down. She has not had any trauma. She was born at term via vaginal delivery and her delivery was uncomplicated. Her vital signs are within normal limits. Examination shows a reddened and swollen 2nd toe of the left foot. A photograph of the left foot is shown. Which of the following is the most likely diagnosis?,None of the above,2
"Sudden death in a patient with an acute myocardial
infarction is most commonly due to",None of the above,3
In obstructive labor most impoant parameter is?,None of the above,1
Sinusoids are a type of:,None of the above,0
